5 4 2 0 8 3 7 6 1 	0 1 2 3 4 5 6 7 8 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 5 6 8 7 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 5 7 6 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 5 7 8 6 	19
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 5 8 6 7 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 5 8 7 6 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 6 5 7 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 6 5 8 7 	19
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 6 7 5 8 	21
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 6 7 8 5 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 6 8 5 7 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 6 8 7 5 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 7 5 6 8 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 7 5 8 6 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 7 6 5 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 7 6 8 5 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 7 8 5 6 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 7 8 6 5 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 8 5 6 7 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 8 5 7 6 	21
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 8 6 5 7 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 8 6 7 5 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 8 7 5 6 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 4 8 7 6 5 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 4 6 7 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 4 6 8 7 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 4 7 6 8 	21
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 4 7 8 6 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 4 8 6 7 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 4 8 7 6 	19
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 6 4 7 8 	21
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 6 4 8 7 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 6 7 4 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 6 7 8 4 	21
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 6 8 4 7 	21
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 6 8 7 4 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 7 4 6 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 7 4 8 6 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 7 6 4 8 	21
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 7 6 8 4 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 7 8 4 6 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 7 8 6 4 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 8 4 6 7 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 8 4 7 6 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 8 6 4 7 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 8 6 7 4 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 8 7 4 6 	19
5 4 2 0 8 3 7 6 1 	0 1 2 3 5 8 7 6 4 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 4 5 7 8 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 4 5 8 7 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 4 7 5 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 4 7 8 5 	27
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 4 8 5 7 	27
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 4 8 7 5 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 5 4 7 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 5 4 8 7 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 5 7 4 8 	27
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 5 7 8 4 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 5 8 4 7 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 5 8 7 4 	27
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 7 4 5 8 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 7 4 8 5 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 7 5 4 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 7 5 8 4 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 7 8 4 5 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 7 8 5 4 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 8 4 5 7 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 8 4 7 5 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 8 5 4 7 	27
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 8 5 7 4 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 8 7 4 5 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 6 8 7 5 4 	27
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 4 5 6 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 4 5 8 6 	21
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 4 6 5 8 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 4 6 8 5 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 4 8 5 6 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 4 8 6 5 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 5 4 6 8 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 5 4 8 6 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 5 6 4 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 5 6 8 4 	27
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 5 8 4 6 	23
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 5 8 6 4 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 6 4 5 8 	目标状态不可达
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 6 4 8 5 	25
5 4 2 0 8 3 7 6 1 	0 1 2 3 7 6 5 4 8 	25
